duration	protocol_type	service	flag	src_bytes	dst_bytes	land	wrong_fragment	urgent	hot	num_failed_logins	logged_in	num_compromised	root_shell	su_attempted	num_root	num_file_creations	num_shells	num_access_files	num_outbound_cmds	is_host_login	is_guest_login	count	srv_count	serror_rate	srv_serror_rate	rerror_rate	srv_rerror_rate	same_srv_rate	diff_srv_rate	srv_diff_host_rate	dst_host_count	dst_host_srv_count	dst_host_same_srv_rate	dst_host_diff_srv_rate	dst_host_same_src_port_rate	dst_host_srv_diff_host_rate	dst_host_serror_rate	dst_host_srv_serror_rate	dst_host_rerror_rate	dst_host_srv_rerror_rate
0	tcp	http	SF	186	7113	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	9	0.0	0.0	0.0	0.0	1.0	0.0	0.22	32	255	1.0	0.0	0.03	0.01	0.0	0.0	0.0	0.0
0	tcp	http	SF	248	753	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	10	0.0	0.1	0.0	0.0	1.0	0.0	0.2	255	255	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	tcp	http	SF	54540	8314	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	4	7	0.0	0.0	0.0	0.0	1.0	0.0	0.43	255	255	1.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05
0	tcp	http	SF	178	14515	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	0.0	0.0	0.0	0.0	1.0	0.0	0.0	138	255	1.0	0.0	0.01	0.03	0.0	0.0	0.0	0.0
0	tcp	http	SF	239	2132	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	0.25	0.25	0.0	0.0	1.0	0.0	0.0	255	255	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	tcp	http	SF	54540	8314	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	5	5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	255	251	0.98	0.01	0.0	0.0	0.0	0.0	0.01	0.01
901	tcp	http	RSTR	56504	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	83	83	0.01	0.01	0.98	0.98	1.0	0.0	0.0	255	255	1.0	0.0	0.0	0.0	0.0	0.0	0.32	0.32
0	tcp	http	SF	306	608	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0.0	0.0	0.0	0.0	1.0	0.0	0.0	255	255	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	udp	private	SF	45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	255	254	1.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0
0	tcp	http	SF	313	2988	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	0.0	0.0	0.0	0.0	1.0	0.0	0.0	255	255	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	udp	domain_u	SF	45	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	108	0.0	0.0	0.0	0.0	1.0	0.0	0.02	255	254	1.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
0	tcp	http	SF	310	4898	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	10	0.0	0.0	0.0	0.0	1.0	0.0	0.3	5	255	1.0	0.0	0.2	0.01	0.0	0.0	0.0	0.0
2067	tcp	http	RSTR	56504	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	8	0.0	0.0	1.0	1.0	1.0	0.0	0.0	255	243	0.95	0.01	0.0	0.0	0.02	0.02	0.33	0.34
0	tcp	http	SF	298	1097	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	6	0.0	0.0	0.0	0.0	1.0	0.0	0.5	111	255	1.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0
0	tcp	http	SF	322	10648	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	0.0	0.0	0.0	0.0	1.0	0.0	0.75	255	255	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	tcp	http	SF	301	1472	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0.0	0.0	0.0	0.0	1.0	0.0	0.0	74	195	1.0	0.0	0.01	0.02	0.0	0.0	0.0	0.0
280	tcp	ftp_data	SF	283618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4	22	1.0	0.0	1.0	0.14	0.0	0.0	0.0	0.0
0	tcp	http	SF	290	889	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	34	0.0	0.0	0.0	0.0	1.0	0.0	0.21	255	255	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	tcp	http	SF	222	929	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	23	0.0	0.0	0.0	0.0	1.0	0.0	0.13	255	255	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	tcp	http	SF	219	179	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	10	0.0	0.0	0.0	0.0	1.0	0.0	0.2	255	255	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0	tcp	http	SF	221	730	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	7	0.0	0.0	0.0	0.0	1.0	0.0	0.29	206	255	1.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
4	tcp	pop_3	SF	30	93	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	255	246	0.96	0.01	0.0	0.0	0.0	0.0	0.0	0.0
4	tcp	pop_3	SF	28	93	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	255	247	0.97	0.02	0.0	0.0	0.0	0.0	0.02	0.0
0	tcp	http	SF	249	7812	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	12	0.0	0.0	0.0	0.0	1.0	0.0	0.17	17	248	1.0	0.0	0.06	0.06	0.0	0.0	0.0	0.0
